Model,n_predictors,AIC,BIC
log_total_area + log_population + hdi,3,38.03696195929817,45.76426449019547
log_population + birth_rate + hdi + unemployment_rate_pct + median_rent,5,38.10415464738471,49.69510844373066
birth_rate + hdi + health_insurance_coverage_pct,3,38.13044911240739,45.857751643304695
log_total_area + median_age + hdi,3,38.28670740707242,46.014009937969725
hdi + unemployment_rate_pct,2,38.40398083349102,44.199457731664
median_age + birth_rate + hdi + health_insurance_coverage_pct,4,38.512465996997314,48.17159416061894
log_total_area + log_population + birth_rate + median_rent,4,38.72948653089613,48.388614694517756
hdi + median_rent,2,38.797266979341316,44.592743877514295
log_total_area + hdi + health_insurance_coverage_pct,3,39.074725863365884,46.80202839426319
log_total_area + log_population + median_age + birth_rate + hdi + health_insurance_coverage_pct,6,39.09296497758642,52.6157444066567
log_total_area + log_population + median_age + hdi,4,39.10625260169049,48.765380765312116
log_population + median_age + birth_rate + hdi,4,39.11835850511432,48.777486668735946
log_population + birth_rate + hdi,3,39.29300607135393,47.02030860225123
log_total_area + median_age + birth_rate + median_rent,4,39.433586413366356,49.09271457698799
hdi + unemployment_rate_pct + median_rent,3,39.438401059333174,47.16570359023047
log_total_area + birth_rate + unemployment_rate_pct + median_rent,4,39.471378433631926,49.13050659725356
log_total_area + median_age + hdi + health_insurance_coverage_pct,4,39.53830281328696,49.19743097690859
median_age + hdi + health_insurance_coverage_pct,3,39.64750268661503,47.374805217512325
log_total_area + log_population + hdi + health_insurance_coverage_pct,4,39.664753492705564,49.32388165632719
log_population + hdi + unemployment_rate_pct,3,39.91077447451074,47.63807700540804
log_population + birth_rate + hdi + health_insurance_coverage_pct,4,40.063160765250856,49.72228892887249
median_age + hdi,2,40.20178141305973,45.997258311232706
log_population + median_age + birth_rate + hdi + health_insurance_coverage_pct,5,40.317824165707336,51.908777962053286
log_population + hdi + median_rent,3,40.45841659407641,48.185719124973716
log_population + hdi + unemployment_rate_pct + median_rent,4,40.488626006812424,50.147754170434055
log_total_area + log_population + median_age + hdi + health_insurance_coverage_pct,5,40.623609334750235,52.214563131096185
log_total_area + log_population + median_age + birth_rate + median_rent,5,40.652395452463026,52.24334924880898
log_total_area + log_population + birth_rate + unemployment_rate_pct + median_rent,5,40.67750262636683,52.26845642271279
log_total_area + median_age + median_rent,3,41.17857558096133,48.905878111858634
hdi + health_insurance_coverage_pct,2,41.25825377895774,47.053730677130716
log_total_area + median_rent,2,41.39809955909492,47.1935764572679
log_total_area + median_age + birth_rate + unemployment_rate_pct + median_rent,5,41.421628600769765,53.01258239711572
log_population + median_age + hdi + health_insurance_coverage_pct,4,41.55065370413274,51.20978186775437
log_population + median_age + hdi,3,42.045672209826826,49.77297474072413
hdi,1,42.12477178193447,45.98842304738312
median_age + birth_rate + median_rent,3,42.43720925509671,50.164511785994016
log_total_area + log_population + median_age + median_rent,4,42.492223984144005,52.151352147765635
log_total_area + log_population + median_rent,3,42.59257352924232,50.31987606013963
log_total_area + log_population + median_age + birth_rate + unemployment_rate_pct + median_rent,6,42.596334505695296,56.11911393476557
log_population + hdi + health_insurance_coverage_pct,3,42.91895530153292,50.64625783243022
log_population + median_age + birth_rate + median_rent,4,42.997744988005735,52.656873151627366
log_population + birth_rate + median_rent,3,43.00073704881445,50.728039579711755
log_total_area + median_age + unemployment_rate_pct + median_rent,4,43.17772865684143,52.836856820463055
birth_rate + median_rent,2,43.240512479285776,49.035989377458755
log_total_area + unemployment_rate_pct + median_rent,3,43.39680642362903,51.124108954526335
median_age + median_rent,2,43.56189496288546,49.35737186105844
log_population + hdi,2,43.59187443420715,49.38735133238013
log_population + median_age + median_rent,3,43.62434310896107,51.351645639858376
log_total_area + log_population + unemployment_rate_pct + median_rent,4,44.20291265566489,53.86204081928652
log_total_area + log_population + median_age + unemployment_rate_pct + median_rent,5,44.30817110550878,55.899124901854734
median_age + birth_rate + unemployment_rate_pct + median_rent,4,44.36314866504949,54.022276828671124
birth_rate + unemployment_rate_pct + median_rent,3,44.67143337036664,52.39873590126395
log_population + birth_rate + unemployment_rate_pct + median_rent,4,44.914756104917494,54.57388426853912
log_population + median_age + birth_rate + unemployment_rate_pct + median_rent,5,44.997681142595596,56.58863493894155
log_population + median_age + unemployment_rate_pct + median_rent,4,45.41706108233935,55.076189245960975
median_age + unemployment_rate_pct + median_rent,3,45.546307389338445,53.27360992023575
log_total_area + birth_rate + unemployment_rate_pct + health_insurance_coverage_pct,4,46.467396202824915,56.126524366446546
log_total_area + birth_rate + health_insurance_coverage_pct,3,46.775626667768584,54.50292919866589
log_total_area + median_age + birth_rate + unemployment_rate_pct + health_insurance_coverage_pct,5,47.864453173890496,59.45540697023645
log_total_area + median_age + birth_rate + health_insurance_coverage_pct,4,48.05967861494225,57.718806778563874
log_total_area + log_population + birth_rate + health_insurance_coverage_pct,4,48.164782943064566,57.8239111066862
log_total_area + log_population + birth_rate + unemployment_rate_pct + health_insurance_coverage_pct,5,48.454358432852224,60.045312229198174
birth_rate + unemployment_rate_pct + health_insurance_coverage_pct,3,48.57962384159146,56.30692637248877
log_total_area + unemployment_rate_pct + health_insurance_coverage_pct,3,48.611650994965636,56.33895352586294
birth_rate + health_insurance_coverage_pct,2,49.02935964212473,54.82483654029771
log_total_area + log_population + median_age + birth_rate + health_insurance_coverage_pct,5,49.571051280331744,61.1620050766777
log_population + median_rent,2,49.67484724278447,55.47032414095745
log_total_area + log_population + median_age + birth_rate + unemployment_rate_pct + health_insurance_coverage_pct,6,49.799928857194026,63.3227082862643
median_age + unemployment_rate_pct + health_insurance_coverage_pct,3,49.9000865875573,57.6273891184546
log_population + birth_rate + unemployment_rate_pct + health_insurance_coverage_pct,4,49.949147762314375,59.608275925936
log_total_area + median_age + unemployment_rate_pct + health_insurance_coverage_pct,4,49.99212990091125,59.65125806453288
median_age + birth_rate + unemployment_rate_pct + health_insurance_coverage_pct,4,50.0475193030292,59.70664746665082
log_total_area + log_population + unemployment_rate_pct + health_insurance_coverage_pct,4,50.604475780427414,60.26360394404904
median_age + birth_rate + health_insurance_coverage_pct,3,50.6436291059397,58.37093163683701
unemployment_rate_pct + health_insurance_coverage_pct,2,50.75269466920947,56.54817156738245
median_rent,1,50.85947536309987,54.72312662854852
log_total_area + health_insurance_coverage_pct,2,50.988579247462475,56.784056145635454
log_population + birth_rate + health_insurance_coverage_pct,3,51.02275399733037,58.750056528227674
log_total_area + birth_rate,2,51.092860962627235,56.88833786080021
log_total_area + log_population + health_insurance_coverage_pct,3,51.338536053954954,59.06583858485226
log_population + median_age + birth_rate + unemployment_rate_pct + health_insurance_coverage_pct,5,51.64070975820042,63.23166355454637
log_population + median_age + unemployment_rate_pct + health_insurance_coverage_pct,4,51.641396461049446,61.30052462467107
log_population + unemployment_rate_pct + median_rent,3,51.65026800902087,59.377570539918175
